시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 03:56,7.35,738,37.04,1179,19.64,41.1,106,14551,28.6,6.8
8/28/2017 03:57,7.72,736,37.18,1247,20.78,42.22,117,28458,28.2,6.9
8/28/2017 03:58,8.19,794,40.75,1373,22.88,53.78,116,16774,30.79,7.5
8/28/2017 03:59,8.75,834,43.18,1543,25.71,54.73,100,18277,35.2,8.13
8/28/2017 04:00,9.63,950,48.45,1554,25.89,68.45,125,32418,39.79,8.6
8/28/2017 04:01,8.92,920,46.09,1531,25.51,62.91,113,18532,30.6,8.08
8/28/2017 04:02,8.94,1029,53.16,1447,24.11,47.03,115,18270,31.39,8.28
8/28/2017 04:03,9.67,825,41.91,1559,25.98,55.82,138,32512,33.4,9.03
8/28/2017 04:04,8.78,727,37.21,1465,24.41,55.37,99,17357,32.79,8.11
8/28/2017 04:05,8.61,692,35.15,1343,22.38,49.01,105,17418,29.79,7.98
8/28/2017 04:06,8.72,671,33.71,1398,23.29,41.54,96,30539,30.2,8.21
8/28/2017 04:07,8.56,734,36.88,1516,25.26,48.24,89,17807,33.59,8.02
8/28/2017 04:08,11.31,589,29.04,1943,32.38,55.73,139,24378,40.59,10.69
8/28/2017 04:09,10.43,511,26.2,1757,29.28,36.1,91,32700,42,9.34
8/28/2017 04:10,8.86,963,51.7,1442,24.03,57.24,124,18517,45.4,8.11
8/28/2017 04:11,7.03,587,29.5,1231,20.51,37.61,114,14963,25.39,6.49
8/28/2017 04:12,8.14,766,38.43,1319,21.98,42.17,130,29628,30.6,7.52
8/28/2017 04:13,8.77,645,32,1423,23.71,52.36,129,18433,32,8.08
8/28/2017 04:14,8.52,563,28.6,1402,23.36,44.26,125,17826,30,8.01
8/28/2017 04:15,9.11,758,38.9,1436,23.93,53.73,132,31468,31.2,8.49
8/28/2017 04:16,7.92,534,26.16,1265,21.08,37.94,113,16874,29.2,7.52
8/28/2017 04:17,7.22,337,16.43,1107,18.45,47.73,131,15558,25.79,6.82
8/28/2017 04:18,7.28,474,23.93,1104,18.39,44.19,101,27499,29.79,6.65
8/28/2017 04:19,6.18,583,29.79,994,16.55,37.11,100,12752,20.6,5.61
8/28/2017 04:20,6.48,742,38.63,1031,17.18,40.04,103,13072,26,5.81
8/28/2017 04:21,6.55,540,26.96,976,16.26,37.83,84,25222,22,6.14
8/28/2017 04:22,6.12,486,25.06,1026,17.1,31.71,85,14531,23.2,5.49
8/28/2017 04:23,7.41,478,24.36,1182,19.7,40.29,129,16762,23.6,6.88
8/28/2017 04:24,7.68,545,28.2,1193,19.88,32.03,112,28938,31.39,7.01
8/28/2017 04:25,8.47,487,24.6,1342,22.36,36.78,115,16749,28.39,7.9
8/28/2017 04:26,7.48,552,28.7,1297,21.61,42.28,106,15756,25.39,6.7
8/28/2017 04:27,7.92,518,26.33,1188,19.79,38.11,100,28385,25.6,7.28
8/28/2017 04:28,7.55,594,30.23,1154,19.23,38.08,112,15388,24.39,6.92
8/28/2017 04:29,6.5,429,21.1,1069,17.8,42.64,98,14520,22.39,6.07
8/28/2017 04:30,7.73,940,51.08,1113,18.54,47.95,129,27671,33.79,6.68
8/28/2017 04:31,6.6,652,33.15,989,16.48,39.49,112,13916,24.2,6.16
8/28/2017 04:32,7.18,523,26,1115,18.57,44.24,121,14700,25,6.6
8/28/2017 04:33,7.69,523,25.91,1200,20,37.39,117,29300,27.79,7.1
8/28/2017 04:34,6.1,491,24.16,951,15.85,45.51,99,12905,24.2,5.54
